,,new_confirmed_AR,tot_confirmed_AR
2020-03-09,1,5,
2020-03-10,1,2,
2020-03-11,1,2,
2020-03-13,1,3,
2020-03-15,1,11,
2020-03-16,1,9,65.0
2020-03-17,1,14,79.0
2020-03-18,1,19,97.0
2020-03-19,1,31,128.0
2020-03-20,1,30,158.0
2020-03-21,1,67,225.0
2020-03-22,1,41,266.0
2020-03-23,1,36,301.0
2020-03-24,1,86,387.0
2020-03-24,2,36,301.0
2020-03-25,1,117,502.0
2020-03-25,2,86,387.0
2020-03-26,1,26,589.0
2020-03-26,2,117,502.0
2020-03-27,1,101,
2020-03-27,2,26,589.0
2020-03-28,1,55,
2020-03-29,1,75,
2020-03-29,2,55,745.0
2020-03-30,1,146,
2020-03-30,2,75,820.0
2020-03-31,1,88,
2020-03-31,2,146,966.0
2020-04-01,1,79,
2020-04-01,2,88,1.0
2020-04-02,1,132,
2020-04-02,2,79,1.0
2020-04-03,1,88,
2020-04-03,2,132,1.0
2020-04-04,1,98,
2020-04-04,2,88,1.0
2020-04-05,1,103,
2020-04-05,2,98,1.0
2020-04-06,1,74,
2020-04-06,2,103,1.0
2020-04-07,1,74,1.0
